DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Rubidium,,Total,1.3,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Selenium,,Dissolved,,,,Below Detection/Quantification Limit,0.3,ug/L,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Selenium,,Dissolved,,,,Below Detection/Quantification Limit,0.3,ug/l,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Selenium,,Total,0.8,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Silver,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/l,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Silver,,Dissolved,,,,Below Detection/Quantification Limit,0.1,ug/L,Method Detection Level,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Silver,,Total,0.8,ug/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Sodium,,Dissolved,43.4,mg/L,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Specific conductance,,,883,uS/cm,,,,,,,,,,,,,,Taiga,
CIMP 174: The Impacts of Recent Wildfires on Northern Stream Ecosystems,BF-01,BF-01,61.3981,-117.4469,NAD83,,,,,River/Stream,Sample-Routine,Surface Water,2015-08-24,,,,,,Water Bottle,Strontium,,Dissolved,360,ug/L,,,,,,,,,,,,,,Taiga,
