DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
2022 water quality data collected for CIMP197,11,CIMP2021-37,69.13353287,-133.0322559,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,10.15,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,11,CIMP2021-37,69.13353287,-133.0322559,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-03,,,,,,Water Bottle,Organic carbon,,Dissolved,25.7,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,11,CIMP2021-37,69.13353287,-133.0322559,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,pH,,,7.59,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,11,CIMP2021-37,69.13353287,-133.0322559,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,"Temperature, water",,,15.65,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,11,CIMP2021-37,69.13353287,-133.0322559,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,Turbidity,,,1.01,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-03,,,,,,Water Bottle,Calcium,,Total,16.3,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,4.55,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,Conductivity,,,131.2,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,9.22,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-03,,,,,,Water Bottle,Organic carbon,,Dissolved,12.7,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,pH,,,7.8,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,"Temperature, water",,,15.82,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,9,CIMP2021-34,69.00068553,-133.3666238,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-03,,,,,,Probe/Sensor,Turbidity,,,1.93,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-06,,,,,,Water Bottle,Calcium,,Total,14.2,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,10.5,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,Conductivity,,,112.2,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,10.87,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-06,,,,,,Water Bottle,Organic carbon,,Dissolved,21.5,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,pH,,,7.47,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,"Temperature, water",,,12.3,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,14,CIMP2021-41,69.12110092,-133.0228309,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,Turbidity,,,1.95,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-06,,,,,,Water Bottle,Calcium,,Total,8.51,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,9.85,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,Conductivity,,,49.4,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,9.79,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-06,,,,,,Water Bottle,Organic carbon,,Dissolved,36,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,pH,,,7.62,None,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,"Temperature, water",,,13.51,deg C,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,5,CIMP2021-15,67.44005833,-134.5263806,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-06,,,,,,Probe/Sensor,Turbidity,,,0.84,NTU,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,15,CIMP2021-42,69.1514316,-133.051257,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-07,,,,,,Water Bottle,Calcium,,Total,26.1,mg/L,Actual,,,,,,,EPA200.2,USEPA,,,,,Taiga Labs,
2022 water quality data collected for CIMP197,15,CIMP2021-42,69.1514316,-133.051257,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-07,,,,,,Probe/Sensor,"Chlorophyll a, pheophytin correction unspecified",,,5.45,ug/L,Estimated,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,15,CIMP2021-42,69.1514316,-133.051257,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-07,,,,,,Probe/Sensor,Conductivity,,,200.6,uS/cm,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,15,CIMP2021-42,69.1514316,-133.051257,WGS84,,,,,Lake/Pond,Field Msr/Obs,Surface Water,2021-08-07,,,,,,Probe/Sensor,Dissolved oxygen (DO),,,9.75,mg/L,Actual,,,,,,,,,,,,,,
2022 water quality data collected for CIMP197,15,CIMP2021-42,69.1514316,-133.051257,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,2021-08-07,,,,,,Water Bottle,Organic carbon,,Dissolved,16.8,mg/L,Actual,,,,,,,TEL.033,PROPRIETARY,,,,,Taiga Labs,
