DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-11,,,,,,Probe/Sensor,Specific conductance,,,168.3,mS/cm,Actual,,0.1,mS/cm,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Specific conductance,,,216,uS/cm,Actual,,0.4,uS/cm,Method Detection Level,,,SM 2500:B,APHA,SM 2510B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Sulfate,,Dissolved,21,mg/L,Actual,,1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-11,,,,,,Probe/Sensor,"Temperature, water",,,14.6,deg C,Actual,,0.1,deg C,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Total dissolved solids,,,162,mg/L,Actual,,10,mg/L,Method Detection Level,,,SM 2540:C,APHA,SM 2540D,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Total suspended solids,,,248,mg/L,Actual,,3,mg/L,Method Detection Level,,,SM 2540:D,APHA,SM 2540C,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Field Msr/Obs,Surface Water,2018-06-11,,,,,,Probe/Sensor,Turbidity,,,161.7,FNU,Actual,,1,FNU,Method Detection Level,,,,,,,,,,
Mackenzie Hg in streamwater survey 2018-2020,Slave2,Slave River at Fort Fitzgerald,59.987222,-111.830278,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-11,,,,,,DH-95,Turbidity,,,221,NTU,Actual,,0.05,NTU,Method Detection Level,,,SM 2130:B,APHA,SM 2130B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Peace,Peace River at Peace Point,59.224167,-112.480556,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-12,,,,,,DH-95,"Alkalinity, total",as CaCO3,,103,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 2320:B,APHA,SM 2320B,,,,Taiga,
Mackenzie Hg in streamwater survey 2018-2020,Peace,Peace River at Peace Point,59.224167,-112.480556,WGS84,,,,,River/Stream,Sample-Integrated Vertical Profile,Surface Water,2018-06-12,,,,,,DH-95,Calcium,,Dissolved,38.3,mg/L,Actual,,0.1,mg/L,Method Detection Level,,,SM 4110:B,APHA,SM 4110B,,,,Taiga,
